car_brand,car_model,comments,likes
아우디,올로드 콰트로,멋지네...,1
아우디,올로드 콰트로,구독 하고 갑니다,1
아우디,올로드 콰트로,다른 리뷰 다 필요없다... 한상기 리뷰만 보면된다... 언제나 최고~!!!,15
아우디,올로드 콰트로,내부 인테페이스가 정말 제가 좋아하는 타입이네요. 후우.. 이번생에는 저런 좋은 차는 사기 힘들듯.. 리뷰 잘봤습니다.,4
아우디,올로드 콰트로,믿고 보는 기자님 시승기잘봤습니다 에어서스없는 45TDI모델도 궁금했는데 가솔린으로 가는게맞는거 같네요.. 감사합니다!^^,2
아우디,올로드 콰트로,역시 조명회사답게 실내 앰비언트 라이트가 튀지 않고 자연스럽게 녹아드는게 고급스럽네요.,1
아우디,올로드 콰트로,가격 착하고 시승해보니 괜찮더군요영상 잘 봤습니다!,2
아우디,올로드 콰트로,잡소리도 없고 정숙성 승차감 좋고 좋은차네요 디자인이 올드하다가 단점 공감합니다,7
아우디,올로드 콰트로,한기자님의 F바디 X5 m50d 리뷰영상을 처음으로 봤었는데 지금까지 기자님 영상은 즐겨보네요..^^ 다가오는 새해 복 많이 받으시고 다양한 영상 부탁드립니다.,6
아우디,올로드 콰트로,년초에 55tfsi 구천초반대로 할인 해서 팔았고 보증 5년.. 인기가 좋아서 할인 거의 없는 x5 gle 대비 해서 구천초반 가격이면 가성비 좋다고 봅니다,10
아우디,올로드 콰트로,한상기 기자님 잘 보고 있습니다 최근들어 나오는 독3사 차량들 중 기자님이 느끼시기에 어떤 브랜드가 현 폼이 가장 좋다고 느끼시는지 궁금합니다,2
아우디,올로드 콰트로,편안한 리뷰 감사합니다. 유일하게 앞으로 넘기면서 안보는 자동차리뷰네요ㅎㅎ,8
아우디,올로드 콰트로,한기자님 영상 항상 잘보고 있습니다!! 감사드립니다! 건강하십시오~~~!,3
아우디,올로드 콰트로,오늘은 이거닷! 항상 좋은 리뷰 감사드립니다. 퀄리티는 업계 최저지만 내용만은 정말 객관적이고 업계 최고라 자부합니다.,3
아우디,올로드 콰트로,사고싶네요 Q7 좋다고 하던대 아파트 주차장레 Q8 RSq8도 있는데 포스가 지립니다,4
아우디,올로드 콰트로,Q7도 디자인적으로 괜찮네요.,4
아우디,올로드 콰트로,"조명 회사답게 앞, 뒤 라이트 완성도도 높고 예쁘네요",1
아우디,올로드 콰트로,오 시승기 올라왔네요 잘 봤습니다ㅎㅎ신형은 왠지 가솔린이 더 잘 어울리는 디자인이네요,2
아우디,올로드 콰트로,폭설에 어울리는 차량 리뷰네요~,2
아우디,올로드 콰트로,올 한해도 수고많으셨어요 ~ 항상잘보고 있읍니다 ^^,2
아우디,올로드 콰트로,요즘 날씨도 추운데 감기 조심하셔요~~~ 매번 좋은 영상 감사합니다.,2
아우디,올로드 콰트로,항상 잘보구 있습니다 새해 복 많이 받으세요~,1
아우디,올로드 콰트로,벤츠 GLE 450이랑 비교하면 어떤게 더 좋으셨나요? 한상기 기자님의 주관적인 의견이 궁금합니다😃,1
아우디,올로드 콰트로,리뷰 중 제일 정확한거 같습니다. 잘보고 있습니다.,5
아우디,올로드 콰트로,항상 잘보고 있습니다!,1
아우디,올로드 콰트로,잘보았습니다 기자님! q7은 얼마전 올리셨던 디스커버리 p360과 비교될것 같은데요. 둘중에 손을 들어주자면 어느쪽 이실까요?,7
아우디,올로드 콰트로,저희집 지하주차장에서 가끔보여서 너무이뻣는데 상기형 감사합니다!,5
아우디,올로드 콰트로,손은 좀 나아지셨나요 ㅠㅠ휴일에 푹 쉬고 언능 나으시길 🙏🏻오늘도 재밌게 잘 보겠습니다 감사합니다🙇🏻‍♀️,3
아우디,올로드 콰트로,실내 디자인 아쉬운 거 빼고는 부족한 거 없이 육각형인 좋은 차 같습니다타고 싶은데 저는 돈이 부족하네요 ㅠㅠ,2
아우디,올로드 콰트로,실내가 올드해 보인다고 하셨었는데 그래도 꽤 예쁘다고 할 수 있겠네요.. 잘 봤습니다!,1
아우디,올로드 콰트로,한 해도 수고 하셨어요... 크리스마스 마지막날까지 잘 보내세요 ^^ 미리 새해 복 많이 받으세요,1
아우디,올로드 콰트로,앞좌석 좌판 늘리는 기능은 좌석아이콘 안에서 설정 할 수 있습니다!,1
아우디,올로드 콰트로,gv80하고 2열 승차감 비교하면 어떤가요?,1
아우디,올로드 콰트로,차가 진중한 느낌이 들어 좋습니다.기자님 메리 크리스마스입니다.,5
아우디,올로드 콰트로,2열 이하에 안전벨트 안전장치 미비한 수입 suv 들이 많다던데 이 제품은 어떨지 궁금하네요.,1
아우디,올로드 콰트로,"19:20 쯤에 회전반경 설명하실 때GV70 ""AWD""와 비교해 주셨는데,2WD과 AWD 회전반경이 다른가요..?",1
아우디,올로드 콰트로,눈길조심하세요 기자님😆,1
아우디,올로드 콰트로,내년에는 20 30 100만 구독 가자!!,1
아우디,올로드 콰트로,메리 크리스마스 하시구요 시승기 잘 보겠습니다.,1
아우디,올로드 콰트로,앞은 기가막히는데 뒤는 좀 아쉽다,1
아우디,올로드 콰트로,완벽스러운 차 같은데 뒷면 크롬라인이 참 에매하네요.,1
아우디,올로드 콰트로,혹시 이 차에 설치된 사이드 스텝 정보 좀 알 수 있나요?,1
아우디,올로드 콰트로,킹상기니뮤ㅠ,2
아우디,올로드 콰트로,번창하세요!!!!!!!,2
아우디,올로드 콰트로,감사합니다:),1
아우디,올로드 콰트로,Q7(가솔린) VS X7(가솔린) 한상기 님의 선택은??,3
아우디,올로드 콰트로,동일모델 운행중입니다시트 하판길이조절 전동으로 가능합니다 아마 시트메뉴에서만 가능했던거로 기억합니다ISG 시동 다시 걸릴때 크게 출렁거리는건 신차때부터 그랬습니다 엑셀컨트롤로 오토홀드 상태에서 시동만 걸리게 할 수 있는데 이런식으로 대응중입니다저는 차음유리적용으로 실내가 매우 조용하나 상대적으로 서스펜션 작동음이 저음으로 크게 부각되고 아이들시 1열 시트로 유입되는 진동이 제일 거슬렸습니다하이브리드 스포츠세단에서 넘어오다 보니 터보렉을 포함하여 운전하기 참 재미없는 차라고 생각했습니다만 처음부터 패밀리카로 접근했었고 가족들은 대만족 중입니다가끔 7인 승차가 필요하고 2열 공간 및 승차감이 중요하며 대형급 suv 까지 올라가기는 부담스럽다면 가장 좋은선택이 아닌가 싶습니다,2
아우디,올로드 콰트로,오늘은 말속도가 빠르군요,1
아우디,올로드 콰트로,오 토요일인데 업로드 감사합니다이번주는 여행채널은 쉬어가는건가요??,1
아우디,올로드 콰트로,기자님 손가락 부상 당하셨다던데 몸조심하시고 영상 잘 보겠습니다.,1
아우디,올로드 콰트로,드림카.. 꼭 살거야,1
아우디,올로드 콰트로,다필요없고 브레이크 밟을때 꾸엨!!,1
아우디,올로드 콰트로,잘 봤습니다!,1
아우디,올로드 콰트로,21년식   2달. 55tfsi 오너입니다.  카이엔타다가 넘어왔는데. 만족스럽습니다다음차는 X7M50i로 가려고합니다,1
아우디,올로드 콰트로,제 드림카..아우디를 좋아하는 입장으로서,2
아우디,올로드 콰트로,새해 복만 받으세요,1
아우디,올로드 콰트로,실내.터치가 안좋고 너무내려와있어서 위치기안좋음,3
아우디,올로드 콰트로,뭔가..뒷모습이qm6같네요,1
아우디,올로드 콰트로,11:05 q7 시승중 보이는 구형q7,2
아우디,올로드 콰트로,구독 추천 누르고가~~~~~~~~~잘볼게요,2
아우디,올로드 콰트로,😘👍👏👏메리크리스마스.🥳,1
아우디,올로드 콰트로,시트 허벅지 길이 연장기능 있어요,3
아우디,올로드 콰트로,Q7이라니!,1
아우디,올로드 콰트로,대표님 메리 크리스마스,2
아우디,올로드 콰트로,RSQ 8 리뷰 좀 부탁 드립니다,1
아우디,올로드 콰트로,메리 크리스마스 ⭐️,2
아우디,올로드 콰트로,단점 아우디,2
아우디,올로드 콰트로,메리크리수마수~~ 해피뉴이얼,1
아우디,올로드 콰트로,시속 210키로 최고속도 ㅋㅋㅋㅋㅋㅋ,3
아우디,올로드 콰트로,메리 크리스마스 . 도 지났네요.  ㅋㅋ,1
아우디,올로드 콰트로,잘 보겠습니다.렉스턴 아직 잘있군요.,4
아우디,올로드 콰트로,14:38 읭? 역주행하는 트럭,2
아우디,올로드 콰트로,디자인은 Q8보다 Q7이 더 이쁘네,3
아우디,올로드 콰트로,비싸다,2
아우디,올로드 콰트로,북유럽 사장님 차인가요... 잘봤습니다.,1
아우디,올로드 콰트로,메리크리스마스~,1
아우디,올로드 콰트로,아프신건 괜찮으신가요,2
아우디,올로드 콰트로,뚱땡이차 뚜우웅,2
아우디,올로드 콰트로,승ㅊㅏ감도 아웃편의물도 아웃가격도 아웃1억인게 이해 불가,1
